vehicle_plate_num,vehicle_plate_type,vehicle_type,arrival_time,duration_hours,departure_time,day_of_week,hour_of_day,arrival_hour,arrival_minute,arrival_day_of_week,stay_duration_minutes,priority_level,bay_assigned,slot_assigned,allocation_score
ABC8270,0,0,2023-05-06 07:04:00,4,2023-05-06 11:04:00,5,7,7,4,5,240,0,2,2,129.25212161689777
ABC1860,0,0,2023-05-01 09:12:00,2,2023-05-01 11:12:00,0,9,9,12,0,120,0,1,8,118.9238329965703
ABC6390,0,1,2023-05-05 08:45:00,1,2023-05-05 09:45:00,4,8,8,45,4,60,0,3,10,93.7313748823472
ABC6191,1,1,2023-05-06 09:52:00,2,2023-05-06 11:52:00,5,9,9,52,5,120,0,1,4,187.895307931105
ABC6734,0,1,2023-05-01 12:29:00,4,2023-05-01 16:29:00,0,12,12,29,0,240,0,3,4,103.35302047142028
ABC7265,2,1,2023-05-05 18:07:00,6,2023-05-06 00:07:00,4,18,18,7,4,360,1,3,10,90.54870180859832
ABC1466,1,2,2023-05-05 17:43:00,1,2023-05-05 18:43:00,4,17,17,43,4,60,1,3,10,128.7834344207162
ABC5426,1,0,2023-05-03 09:43:00,2,2023-05-03 11:43:00,2,9,9,43,2,120,1,1,3,256.3931664202788
ABC6578,2,2,2023-05-03 10:29:00,1,2023-05-03 11:29:00,2,10,10,29,2,60,2,1,5,234.75470622447483
ABC9322,2,1,2023-05-07 18:06:00,3,2023-05-07 21:06:00,6,18,18,6,6,180,1,4,4,159.53591635406173
ABC2685,2,2,2023-05-07 09:34:00,2,2023-05-07 11:34:00,6,9,9,34,6,120,2,1,7,258.7902264027537
ABC1769,0,2,2023-05-07 09:45:00,4,2023-05-07 13:45:00,6,9,9,45,6,240,0,1,10,108.4611025642397
ABC7949,2,0,2023-05-02 18:39:00,1,2023-05-02 19:39:00,1,18,18,39,1,60,2,1,7,258.21698407861834
ABC3433,0,2,2023-05-02 17:14:00,3,2023-05-02 20:14:00,1,17,17,14,1,180,0,2,6,132.74018625177763
ABC6311,1,0,2023-05-04 11:52:00,2,2023-05-04 13:52:00,3,11,11,52,3,120,1,1,7,137.07498169279572
ABC6051,1,1,2023-05-05 09:22:00,4,2023-05-05 13:22:00,4,9,9,22,4,240,0,2,7,126.66236200778914
ABC7420,2,2,2023-05-05 10:06:00,2,2023-05-05 12:06:00,4,10,10,6,4,120,2,3,8,146.7237237420278
ABC2184,0,1,2023-05-01 17:31:00,1,2023-05-01 18:31:00,0,17,17,31,0,60,0,3,1,171.19005274573325
ABC5555,2,0,2023-05-04 18:13:00,5,2023-05-04 23:13:00,3,18,18,13,3,300,2,3,3,212.83779907607283
ABC4385,2,1,2023-05-04 08:45:00,1,2023-05-04 09:45:00,3,8,8,45,3,60,1,3,3,226.2578290593487
ABC7396,0,1,2023-05-05 13:30:00,3,2023-05-05 16:30:00,4,13,13,30,4,180,0,2,5,108.10397943463873
ABC9666,2,0,2023-05-05 16:40:00,5,2023-05-05 21:40:00,4,16,16,40,4,300,2,2,10,135.3840228313757
ABC3558,1,1,2023-05-02 09:14:00,1,2023-05-02 10:14:00,1,9,9,14,1,60,0,3,7,127.0733863552766
ABC8849,2,1,2023-05-07 09:48:00,3,2023-05-07 12:48:00,6,9,9,48,6,180,1,1,10,131.40330526957237
ABC3047,0,1,2023-05-02 16:40:00,4,2023-05-02 20:40:00,1,16,16,40,1,240,0,3,6,112.29367262691578
ABC3747,0,2,2023-05-02 08:16:00,4,2023-05-02 12:16:00,1,8,8,16,1,240,0,3,4,132.58944142713432
ABC1189,1,1,2023-05-06 18:47:00,4,2023-05-06 22:47:00,5,18,18,47,5,240,0,2,6,129.86899615149633
ABC3734,0,0,2023-05-05 06:16:00,2,2023-05-05 08:16:00,4,6,6,16,4,120,0,3,7,92.77002123073284
ABC4005,0,2,2023-05-04 16:17:00,2,2023-05-04 18:17:00,3,16,16,17,3,120,0,2,4,141.62879729477706
ABC5658,1,2,2023-05-07 21:57:00,3,2023-05-08 00:57:00,6,21,21,57,6,180,1,4,8,66.54934971360449
ABC2899,2,0,2023-05-02 18:10:00,3,2023-05-02 21:10:00,1,18,18,10,1,180,2,2,5,239.31944752269294
ABC8734,1,1,2023-05-04 10:29:00,6,2023-05-04 16:29:00,3,10,10,29,3,360,0,3,3,119.11033610771506
ABC2267,2,2,2023-05-01 18:41:00,1,2023-05-01 19:41:00,0,18,18,41,0,60,2,1,2,364.8606428918575
ABC2528,1,2,2023-05-01 20:50:00,1,2023-05-01 21:50:00,0,20,20,50,0,60,1,2,1,174.49783272719804
ABC4556,2,2,2023-05-03 17:22:00,2,2023-05-03 19:22:00,2,17,17,22,2,120,2,2,4,268.9339717960729
ABC4890,1,1,2023-05-07 12:46:00,6,2023-05-07 18:46:00,6,12,12,46,6,360,0,2,2,112.65997535099369
ABC9838,2,2,2023-05-06 17:46:00,2,2023-05-06 19:46:00,5,17,17,46,5,120,2,3,3,252.8450106940483
ABC6393,1,0,2023-05-03 10:37:00,8,2023-05-03 18:37:00,2,10,10,37,2,480,1,3,1,159.46638536889228
ABC9792,2,1,2023-05-01 08:25:00,6,2023-05-01 14:25:00,0,8,8,25,0,360,1,2,6,154.02330856737174
ABC9433,1,0,2023-05-02 18:25:00,5,2023-05-02 23:25:00,1,18,18,25,1,300,1,1,4,229.86380645025054
ABC8513,0,0,2023-05-04 06:13:00,5,2023-05-04 11:13:00,3,6,6,13,3,300,0,3,5,110.71570093149072
ABC3612,2,2,2023-05-06 17:51:00,3,2023-05-06 20:51:00,5,17,17,51,5,180,2,1,8,231.132159650817
ABC8041,1,2,2023-05-02 17:09:00,3,2023-05-02 20:09:00,1,17,17,9,1,180,1,4,4,152.7447789731209
ABC7235,2,2,2023-05-02 17:23:00,2,2023-05-02 19:23:00,1,17,17,23,1,120,2,1,6,258.95472488950196
ABC6486,2,0,2023-05-05 17:30:00,1,2023-05-05 18:30:00,4,17,17,30,4,60,2,3,3,261.3960753427218
ABC8099,1,1,2023-05-07 08:30:00,2,2023-05-07 10:30:00,6,8,8,30,6,120,0,2,8,120.30863875953841
ABC1775,2,2,2023-05-05 11:22:00,1,2023-05-05 12:22:00,4,11,11,22,4,60,2,4,3,159.7628692585843
ABC9226,1,2,2023-05-04 18:19:00,1,2023-05-04 19:19:00,3,18,18,19,3,60,1,1,7,224.4021563462203
ABC4152,0,0,2023-05-05 10:07:00,1,2023-05-05 11:07:00,4,10,10,7,4,60,0,2,7,124.47546090049697
ABC2585,2,1,2023-05-02 16:35:00,6,2023-05-02 22:35:00,1,16,16,35,1,360,1,4,3,139.23551285937933
ABC4943,0,0,2023-05-07 09:08:00,3,2023-05-07 12:08:00,6,9,9,8,6,180,0,1,3,194.76593466788796
ABC8555,2,2,2023-05-07 15:25:00,1,2023-05-07 16:25:00,6,15,15,25,6,60,2,2,10,131.33119016328192
ABC4073,2,0,2023-05-04 16:16:00,4,2023-05-04 20:16:00,3,16,16,16,3,240,2,4,10,79.67515125222982
ABC2021,2,2,2023-05-05 09:34:00,2,2023-05-05 11:34:00,4,9,9,34,4,120,2,3,8,154.79819502259497
ABC4843,1,1,2023-05-02 09:09:00,2,2023-05-02 11:09:00,1,9,9,9,1,120,0,1,3,195.5445988433194
ABC8989,0,0,2023-05-01 09:05:00,5,2023-05-01 14:05:00,0,9,9,5,0,300,0,1,2,167.3963603419803
ABC7873,2,2,2023-05-02 16:03:00,1,2023-05-02 17:03:00,1,16,16,3,1,60,2,4,5,130.85689247674418
ABC6675,1,2,2023-05-03 09:59:00,2,2023-05-03 11:59:00,2,9,9,59,2,120,1,1,7,171.8829092303435
ABC1161,2,2,2023-05-04 18:17:00,1,2023-05-04 19:17:00,3,18,18,17,3,60,2,2,8,190.49507788981893
ABC5297,1,2,2023-05-01 11:14:00,2,2023-05-01 13:14:00,0,11,11,14,0,120,1,1,1,194.74278993623236
ABC1995,2,0,2023-05-07 09:53:00,4,2023-05-07 13:53:00,6,9,9,53,6,240,2,1,2,302.73472206436594
ABC8629,0,2,2023-05-05 17:33:00,1,2023-05-05 18:33:00,4,17,17,33,4,60,0,2,7,141.51004670430768
ABC2016,0,0,2023-05-07 17:02:00,8,2023-05-08 01:02:00,6,17,17,2,6,480,0,2,9,86.63067669028054
ABC8869,2,2,2023-05-05 16:28:00,1,2023-05-05 17:28:00,4,16,16,28,4,60,2,3,3,217.78392555092893
ABC7439,1,0,2023-05-02 17:08:00,3,2023-05-02 20:08:00,1,17,17,8,1,180,1,2,8,165.1535769362917
ABC8892,2,0,2023-05-05 16:19:00,5,2023-05-05 21:19:00,4,16,16,19,4,300,2,1,10,151.16029180964767
ABC7863,1,2,2023-05-04 17:32:00,4,2023-05-04 21:32:00,3,17,17,32,3,240,1,4,3,157.85258872114767
